,category,ac_name,ac_type,link,ac_type_detail,Autonomy Level,Dimensions,Powerplant,Propeller Configuration,Range,Top Speed,dev_stage,references,summary,Passenger/Payload Capacity,Wingspan/Dimensions,prod_stage,powerplant_category,autonomous level
13,watchlist,EmbraerX,Winged VTOL,https://transportup.com/embraerx-evtol/,<span> Winged VTOL</span>,<span> </span>,Unknown,: All-Electric, 10 total. ,Unknown,Unknown,prototype build,"['https://embraer.com/global/en/embraerx', 'http://eepurl.com/doMF3v']","The EmbraerX eVTOL is the innovation group's newest concept from the Brazilian manufacturer, and also a project that may in the future become more linked to Boeing as Embraer and Boeing continue talks about partnerships.","1 Pilot, 4 Passengers",,prototype production,electric,undisclosed
14,watchlist,Pipistrel 801 eVTOL,Winged VTOL,https://transportup.com/pipistrel-evtol-concept,<span> Winged VTOL</span>,"<span> Piloted, with Flight Deck provisions for eventual autonomous operations</span>",Unknown,: All-Electric," 8 propellers for vertical flight; 1 thrust rotor for horizontal, level flight",60 nm,175 mph,prototype build,['http://www.pipistrel.si/'],"The Pipistrel eVTOL Concept was unveiled at the 2nd annual Uber Elevate Summit on May 8th, 2018 in Los Angeles, CA. Previously designed as a blended wing body (BWB), the new 801 eVTOL features 8 lift rotors mounted on a lifting surface inboard of the wing. The Pipistrel team also announced that an entire family of eVTOL’s was being developed for scalability and mission-tailored performance.",Single Passenger,,prototype production,electric,autonomous
15,watchlist,Skai by Alaka'i Technologies,Wingless VTOL,https://transportup.com/skai-by-alakai-technologies/,, Semi-autonomous with eventual full-autonomy capability,,,,400 miles,118mph,prototype build,"['http://Skai.co', 'http://eepurl.com/doMF3v']","The Skai by Alaka'i Technologies is the first ever hydrogen fuel cell powered eVTOL. The Skai is estimated to have up to a 400 mile range, carry up to 5 people, and have a top speed of 118mph. The aircraft is designed in collaboration with BMW Designworks, which is also repsonsible for desiging a Virgin Hyperloop One capsule interior. Alaka'i Technologies is led team of experts formerly from NASA, Raytheon, Beech, Cirrus, Dayjet, and the Department of Defense.",,,prototype production,undisclosed,semi autonomous
16,watchlist,Beta Technologies Alia,Winged VTOL,https://transportup.com/beta-technologies-alia/,,<span> </span>,50 ft wingspan,,,250nm,145 kts,flight testing,"['https://www.beta.team/', 'http://eepurl.com/doMF3v']","The Alia is the second aircraft created by Vermont-based startup Beta Technologies, the first being the Beta Technologies Ava. The Alia will be Beta's commercially produced aircraft, while the Ava was only a prototype. According to CEO Kyle Clark, the design of the Alia was inspired by migratory birds of the Arctic, and testing of the aircraft for FAA certification is already underway. Beta Technologies has been under development for over five years, with the vision of creating emissions free, highly accessible travel by air.",,,prototype production,undisclosed,undisclosed
17,watchlist,Jaunt Air Mobility eVTOL,Winged VTOL,https://transportup.com/carter-aviation-technologies-cartercopter/," Winged VTOL, Intercity"," Semi-Autonomous, Autonomous in future",,"hybrid electric, details undisclosed"," 4 pitch controllable rotors, one main lifting rotor", undisclosed, 184 ktas,preliminary design,"['http://www.cartercopters.com/pdfs/Carter_Electric_Air_Taxi.pdf', 'https://www.jauntairmobility.com/', 'http://eepurl.com/doMF3v']","Jaunt Air Mobility is one of the six eVTOL Network partner for Uber Elevate. The Jaunt Journey eVTOL, designed to meet Uber's noise and performance requirements, was originally designed by Carter Aviation, which was recently acquired by Jaunt Air Mobility. The Jaunt eVTOL utilizes Carter Aviation's slowed-rotor compound (SR/C) technology  to provide lift from the vertical rotor even in horizontal flight, and to decrease noise while increasing efficiency and safety. The Jaunt eVTOL is unique among the Uber Elevate partners in that it features only a single lift rotor."," 5, including one pilot",Undisclosed,pre production,hybrid electric,semi autonomous
18,market,VIMANA AAV,Winged VTOL,https://transportup.com/vimana-aav-2/,Winged intercity eVTOL ,Piloted with Semi-Autonomy,,,"8 rotors, 1.6m diameter each",,280km/h,flight testing,"['https://vimana.global/', 'http://eepurl.com/doMF3v']","The Vimana AAV (autonomous air vehicle) is being developed by Vimana Global, in Redwood City, CA, USA. The Vimana is an eVTOL with 8 rotors, 4 mounted on each wing. The wings of the AAV rotate to facilitate vertical takeoff and landing and also accelerated forward flight.",<span>2-4 passengers</span>,"<span class=""c-message__edited_label"" data-sk=""tooltip_parent"" delay=""300"" dir=""ltr"">9.5 m span (incl. propellers), 4.8 m length (excl. propellers</span>",prototype production,undisclosed,piloted semi autonomous
19,market,Sting VTOL,Winged VTOL,https://transportup.com/sting-vtol,,"Piloted, semi-autonomous",,"Undisclosed, ducted fan","Two vertical lift ducted fans, two pusher fans",Undisclosed,Undisclosed,prototype build,['http://eepurl.com/doMF3v'],"At this time, the Sting VTOL is little more than an artistic concept design; there is scant commercial information that is readily available for this VTOL at this time. The blended wing body design aims to take advantage of greater efficiencies during cruise flight, which would be indicative of the VTOL's tailoring for medium to longer range trips as opposed to many other intracity VTOL use cases.",4+ passengers,Undisclosed,prototype production,undisclosed,piloted semi autonomous
20,market,Terrafugia Transition,STOL,https://transportup.com/terrafugia-transition,Intercity fixed wing STOL,Piloted,,Rotax 912iS,One pusher propeller,400 miles,100+ mph,flight testing,"['http://terrafugia.com', 'http://eepurl.com/doMF3v']","The Terrafugia Transition is a flying car with foldable wings produced in Woburn, MA by aerospace company Terrafugia. Terrafugia is also working on future eVTOL prototypes, such as the TF-2 and TF-X. The Transition is named such because of the foldable wing mechanism that allows for the wings to stow for legal driving on US roadways and then extended at an airport for ""Transition"" to flight mode.",4 passengers,26.6 feet,prototype production,undisclosed,piloted
21,market,Dufour aEro2,Winged VTOL,https://transportup.com/dufour-aero2,<span> </span>,<span> </span>,Undisclosed,: Hybrid or All-Electric, 4 propellors distributed along a tilt-wing,500 mi (hybrid mode) 75 mi (full electric mode),200mph,flight testing,"['http://dufour.aero/', 'http://eepurl.com/doMF3v']","The aEro2 is one of Dufour Aerospace's eVTOL concepts currently under development. It is a winged eVTOL that uses two variable angle propellors mounted on the wing of the aircraft that swivel to provide vertical thrust for takeoff and landing and then transition to a horizontal orientation to facilitate acceleration to forward flight. Dufour is also known for successfully designing and flying other conventionally configured electric aircraft, and looks to build on the success of its aEro 1 electric CTOL aerobatic plane.",Single Passenger,,prototype production,hybrid electric,undisclosed
22,market,Zenith Altitude EOPA,Wingless VTOL,https://transportup.com/zenith-altitude-eopa,,,,,,,,prototype build,"['http://www.zenith-altitude.com/en/about', 'http://eepurl.com/doMF3v']","The Zenith Altitude EOPA is an eVTOL being manufactured in Quebec by Zenith Altitude Inc. The EOPA (which stands for Electrically-Powered Optionally-Piloted Powered-Lift Aircraft) is designed to transport a pilot, medical technician and organs over a distance of 250 NM (463 km) for Lung Biotechnology, a subsidiary of United Therapeutics. It was originally slated to enter commercial use by 2025, though the company has not made public any progress since its initial announcement in 2018.",,,prototype production,undisclosed,undisclosed
23,market,Verdego Aero PAT200,Winged VTOL,https://transportup.com/verdego-aero-pat200, VTOL with fixed wing; Intercity, Piloted with Semi-Autonomy, Undisclosed, , 8 electric motors driving independent rotors , 20-40 miles, 150 mph,prototype build,"['https://docs.wixstatic.com/ugd/c8bd52_7e614e38549946fab55827c564c80c6b.pdf', 'https://www.verdegoaero.com/', 'http://eepurl.com/doMF3v']","Verdego Aero originally formed to make its own eVTOL, but has now transitioned into creating customized propulsion systems for eVTOL aircraft of different kinds. Verdego is one of the only existing companies that creates custom IDEP (integrated distributed electric propulsion) systems for eVTOL OEM's, and is founded by Erik Lindbergh, grandson of Charles Lindbergh.", 2; 500 lb useful load,,prototype production,undisclosed,piloted semi autonomous
24,market,Terrafugia TF-2,Winged VTOL,https://transportup.com/terrafugia-tf-2,Winged VTOL,Semi-Autonomous, 14.8 feet wingspan,All-electric, Lift + Push,170-215 nm, 315-333 km/hr,preliminary design,['http://eepurl.com/doMF3v'],"The Terrafugia TF-2 is a cargo-carrying eVTOL that is modular, allowing for a cargo pod to be picked up from a fulfillment center and then dropped off on either a truck or the packages' final destination. Terrafugia was acquired by Geely in 2017 and is working towards a new prototype.",4,,pre production,electric,semi autonomous
25,market,PteroDynamics Transwing,Winged VTOL,https://transportup.com/pterodynamics-transwing,Winged VTOL,Remote Pilot Controlled," 2 ft wingspan, 2.8 ft length",All-electric, 4 tiltrotors,20 miles, 70 knots,prototype build,"['https://www.pterodynamics.com/', 'http://eepurl.com/doMF3v']",The Pterodynamics Transwing is an eVTOl that utilizes a foldable wing to land in confined spaces. The wing then folds out for sustained and accelerated forward flight.,TBD,,prototype production,electric,undisclosed
26,market,Terrafugia TF-X,Winged VTOL,https://transportup.com/terrafugia-tf-x,Winged VTOL,Pilot Operated,TBD,Hybrid-electric,2 tiltrotors,500 miles, 200 mph,preliminary design,"['https://www.terrafugia.com/tf-x/', 'http://eepurl.com/doMF3v']","The Terrafugia TF-X concept was developed by Terrafugia, formerly based in Woburn, MA. The TF-X is a road-able aircraft that utilizes folding wings to allow for landing in compact areas, and two propellers for upward and horizontal propulsion. The TF-X is the next model in the line that is anchored by the Terrafugia Transition.",4,,pre production,hybrid electric,undisclosed
27,market,Airbus Vahana (Archived),Winged VTOL,https://transportup.com/airbus-vahana, Winged VTOL, Autonomous/remote pilot," 20 ft wingspan, 9 ft height",: All-Electric, 8 propellers; 4 on each of the two tilting wings.,31 miles,136mph,prototype build,"['https://www.airbus-sv.com/projects/1', 'http://eepurl.com/doMF3v']","Vahana is a project worked on by the A^3 technological development arm of Airbus which is headquartered in Silicon Valley, CA. Built as a (now-completed) eVTOL technology demonstrator and proof-of-concept for future aircraft like the CityAirbus, Vahana uses variable-angle rotors that provide thrust vertically for takeoff and landing and swivel forward to facilitate accelerated conventional flight.",Single Passenger,,prototype production,electric,autonomous
28,market,AIRIS AirisOne,Winged VTOL,https://transportup.com/airis-airisone/, Intercity VTOL, Autonomous,,All-Electric,"Dual co-axial lift fans, 8 articulating thrusters",200 miles,175 mph,prototype build,"['https://www.airisaero.com/', 'http://eepurl.com/doMF3v']",The AIRIS AirisOne is being developed in Bermuda and features some of the most original design aesthetics of any eVTOL currently being developed. The team is currently expanding in preparation for production of a prototype.,5 passengers,undisclosed,prototype production,electric,autonomous
29,market,AeroMobil 4.0 STOL,STOL,https://transportup.com/aeromobil-4-0-stol/,Roadable STOL,Pilot-assistance,"29 ft wingspan, 19 ft length, 4.6 ft height",Automotive gasoline combustion,<span> </span>,<span>466 miles</span>, 223 mph,flight testing,"['https://www.aeromobil.com/aeromobil-4_0-stol/', 'http://eepurl.com/doMF3v']","The AeroMobil 4.0 STOL is AeroMobil's final STOL concept before the company moves to designing and building its 5.0 VTOL concept. Bratislava, Slovakia based AeroMobil is also currently testing its 3.0 STOL.",Two-seater,,prototype production,undisclosed,undisclosed
30,market,AeroMobil 5.0 VTOL,Winged VTOL,https://transportup.com/aeromobil-5-0-vtol/,Roadable VTOL with fixed-wing flight,Undisclosed,Undisclosed, Rotax 912 four cylinder aircraft engine,<span> </span>,<span>435 miles</span>, Undisclosed,preliminary design,"['https://www.aeromobil.com/aeromobil-5_0-vtol/', 'http://eepurl.com/doMF3v']","The AeroMobil 5.0 VTOL is being developed in the ""Detroit of Slovakia"" by Mr. Juraj Vaculík and his AeroMobil team. The 5.0 VTOL advances the company's 4.0 STOL design.",Four-seater,,pre production,undisclosed,undisclosed
31,market,VRCO NeoXCraft,Wingless VTOL,https://transportup.com/vrbo-neoxcraft/, Roadable VTOL,<span> </span>,Undisclosed,: All-electric,<span> </span>,75 miles,210 mph,prototype build,"['http://www.vrco.co.uk/the-project/', 'http://eepurl.com/doMF3v']",The VRCO NeoXCraft is a four-rotored eVTOL being developed in the UK that targets certification completion in 2020 after a provisional first flight scheduled for 2019.,"Two-seater, ",,prototype production,electric,undisclosed
32,market,XTI TriFan 600,Winged VTOL,https://transportup.com/xti-aircraft-trifan-600/," Winged VTOL, Intercity", Piloted,," Hybrid-Electric. A single 1,000 shp (745 kW) Honeywell HTS900 turboshaft driving three generators, powering two 350 hp (260 kW) electric motors for the wing ducts and one each for the aft propellers.","3 ducted fans, 2 rotating",1380 miles,345 mph,flight testing,"['http://www.xtiaircraft.com/home/', 'http://eepurl.com/doMF3v']","The XTI TriFan 600 is a luxury, high-tech, long-range passenger VTOL aircraft being designed in Englewood, CO, USA. It uses three ducted fans to take off vertically, which then rotate to a horizontal position in order to facilitate forward flight. The TriFan features a private jet style interior and has been in development since 2012. Its intended use cases are either for charter or private ownership.",Pilot + 5 passengers,37.7 ft / 38.7 ft,prototype production,hybrid electric,undisclosed
33,market,Aurora Lightning Strike XV-24A (Archived),Winged VTOL,https://transportup.com/aurora-lightningstrike/, Intercity VTOL, Autonomous,," Undisclosed, hybrid electric", 24 ducted fans, Undisclosed, > 300 KCAS,prototype build,"['http://www.aurora.aero/lightningstrike/', 'http://eepurl.com/doMF3v']","The Aurora LightningStrike is being developed by Aurora Flight Sciences in Manassas, Virginia. The LightningStrike is a military variant of Aurora's VTOL projects.", 0 (autonomous), >60ft,prototype production,hybrid electric,autonomous
34,market,ASX MOBi-ONE,Winged VTOL,https://transportup.com/airspace-mobi-one/, Winged eVTOL, Piloted w/ Semi-Autonomy,,All-Electric or Hybrid-Electric,"6 rotors mounted on tilt-wing, 1 rotor on the empennage of the VTOL","65 miles (All-Electric), 260 miles (Hybrid-Electric)",300 mph,prototype build,"['https://www.iflyasx.com/', 'http://eepurl.com/doMF3v']","The Airspace MOBi One is targeted for deployment in 2025 and should match the cost of an UberX Ride at that point. The MOBi One features a variable angle of attack wing that has 6 rotors mounted on it for propulsion, in addition to a seventh rotor on the empennage of the VTOL.",4 passengers,40 ft / 30 ft x 10 ft,prototype production,hybrid electric,piloted semi autonomous
35,market,Autonomous Y6S,Winged VTOL,https://transportup.com/autonomous-y6s/," Intercity VTOL, moveable wing", Piloted w/ Semi-Autonomy,,Electric ducted fans,"2 rotating , 1 fixed EDF",80 miles,70 mph,prototype build,"['http://www.autonomousflight.com/', 'http://eepurl.com/doMF3v']",The Autonomous Y6S is an eVTOL being developed in London by Martin Warner and his Autonomous Flight Team. The Y6S is proposed to make its first test flight in Q4 of 2018 and its first manned flight in 2019.,2 passengers,undisclosed,prototype production,electric,piloted semi autonomous
36,market,DeLorean Aerospace DR7,Winged VTOL,https://transportup.com/delorean-aerospace-dr7/," Intercity VTOL, fixed wing", Semi-Autonomous,,electric ducted fans (assumed), 2 rotating electric ducted fans,undisclosed,undisclosed,prototype build,"['http://www.deloreanaerospace.com/', 'http://eepurl.com/doMF3v']","The DeLorean Aerospace DR7 is being developed by Paul DeLorean in Laguna Beach, CA. The DR7 features a futuristic monocoque fuselage design coupled with ducted fans for propulsion.", 1 passenger, undisclosed,prototype production,electric,semi autonomous
37,market,DIGI Droxi,Winged VTOL,https://transportup.com/digi-droxi/,,,,,,,,preliminary design,"['http://digirobotics.com/', 'http://eepurl.com/doMF3v']","The DIGI Droxi is being developed in Dubai, UAE by DIGI Drones, which is scaling its experience with smaller drone technologies to a passenger-carrying variant.",,,pre production,undisclosed,undisclosed
38,market,EVA X01,Winged VTOL,https://transportup.com/eva-x01/,,,,,,,,prototype build,"['https://eva.xyz/', 'http://eepurl.com/doMF3v']","The EVA X01 is an electric 2 seat aircraft produced by EVA (Electric Visionary Aircrafts) in Toulouse, France. Their CEO is Olivier Le Lann.",,,prototype production,undisclosed,undisclosed
39,market,Flexcraft,Winged VTOL,https://transportup.com/flexcraft/,,,,,,,,prototype build,"['http://flexcraft.pt/en/', 'http://eepurl.com/doMF3v']","The Flexcraft is an eVTOL being built by the Lisbon, Portugal based Flexcraft consortium. Testing of the aircraft was slated to begin in November of 2019, but does not appear to have begun yet.",,,prototype production,undisclosed,undisclosed
40,market,JAXA Hornisse,Winged VTOL,https://transportup.com/jaxa-hornisse/, Intercity VTOL with fixed wing," Semi-Autonomous (assumed, undisclosed)",, undisclosed," 2 rotors, undisclosed diameter", undisclosed, undisclosed,prototype build,"['http://www.aero.jaxa.jp/research/basic/propulsion/liftfan/', 'http://eepurl.com/doMF3v']","The JAXA (Japanese Aerospace Exploration Agency) Hornisse is a ducted fan craft that is currently being tested at sub-scale model sizes to validate the concept before moving on to larger scale variants. The aircraft pictured is a rendering of a proposed eVTOL aircraft by JAXA, and is not the Hornisse sub-scale test bed.", 0 (for scale prototype), 1.98m x 2.3m x 0.5m,prototype production,undisclosed,semi autonomous
41,market,Jetoptera Personal Drone,Winged VTOL,https://transportup.com/jetoptera-personal-drone/, VTOL with moveable wing, piloted ,, Hybrid-electric,2 ducted fans (with fluidic technology), undisclosed,250 knots,flight testing,['http://www.jetoptera.com/'],"The Jetoptera Personal Drone is being designed and manufactured with patented ""Fluidic Propulsion"" according to the flying car maker. Jetoptera is creating an entire range of drones/flying cars, ranging from small enough to be held in a human's hand to large enough to carry a person.", 5-15 lbs*/MTOW 55 lbs, ~2m,prototype production,hybrid electric,undisclosed
42,market,HopFlyt Venturi,Winged VTOL,https://transportup.com/hopflyt-venturi/," VTOL, moveable wing", Semi-autonomous,, electric ducted fans," 6 ducted fan rotors (final configuration has 8 venturi ""channels"")", 100 nm, 120 knots,flight testing,"['https://hopflyt.com/', 'http://eepurl.com/doMF3v']","The Hopflyt Venturi is a craft designed to become the leading mobility source for any journey under 200 miles, according to the Hopflyt website. It uses advanced aerodynamics principles (detailed in the Technical Specifications section) for improved performance."," 4 pax, 1800lb MTOW", 24 ft x 26 ft ,prototype production,electric,semi autonomous
43,market,Moller M200 Skycar,Winged VTOL,https://transportup.com/moller-m200-skycar/, Winged VTOL,<span> Piloted</span>," 8.5 ft wingspan, 14 ft length, 6 ft height",: Ethanol, ,434 miles,242 mph,flight testing,"['https://moller.com/moller_skycar200.html', 'http://eepurl.com/doMF3v']","The Moller M200 Skycar is the smaller version of the M400 Skycar currently under development by Moller International. The M200 uses two horizontal ducted fans for level flight, and two inline vertical fans that supply lift for nearly vertical takeoffs and landings. It featured an ethanol-powered propulsion system and was equipped with folding wings and a parachute. Ultimately, the DoD - the target customer of the M200 Skycar - showed little interest and Moller has moved on to the development of its other VTOL models such as the M400 Skycar.","One Pilot, One Passenger in Tandem",,prototype production,undisclosed,undisclosed
44,market,Moller M400 Skycar,Winged VTOL,https://transportup.com/moller-skycar/, Winged VTOL,<span> Piloted</span>," 8.5 ft wingspan, 21.5 ft length, 7.5 ft height",: Ethanol or Hybrid-Electric,<span> Four thrust-vectoring nacelles with two counter-rotating Rotapower® engines per nacelle</span>,805 miles,331 mph,flight testing,"['https://moller.com/moller_skycar400.html', 'http://eepurl.com/doMF3v']","The Moller M400 SkyCar is being developed by Moller International, based in Dixon, CA. The M400 is the largest SkyCar made by Moller (the other 2 seat variant is named the M200). The M400 uses four ducted fans with variable incidence angle to facilitate vertical takeoff and landing. For accelerated forward flight, the fans tilt slowly to the horizontal. A hybrid-electric design iteration has enabled the M400 to maintain its 720-hp power supply to its previously ethanol-fueled Freedom Motor Rotapower®  engines provided exclusively to Moller.","One Pilot, Three Passengers",,prototype production,hybrid electric,undisclosed
45,market,Pop.Up Next,Wingless VTOL,https://transportup.com/popup-next/, Roadable VTOL,<span> </span>, 14.5 ft L x 2.75 ft H x 16.5 ft W (self-flying air module),: All-Electric, 8 propellers (4 + 4),31 miles (without payload),93 mph,flight testing,"['https://www.italdesign.it/project/pop-up-next/', 'http://eepurl.com/doMF3v']","The PopUp.Next is designed by Italdesign, and is under development in collaboration with Airbus and Audi. Audi is responsible for designing the ground maneuvering system and Airbus is designing the electric-powered lifting module and detachable pod of the aircraft.",2 Passengers,,prototype production,electric,undisclosed
